State,District,Latitude,Longitude,Total_world,Total_covid_count,Year_Quarter,col
nagaland,zunheboto district,26.0030617,94.5236166,1750900.6459182375,1700,2018-Q1,1700
andhra-pradesh,ysr district,17.0771387,81.6653938,681481931.0936775,487333,2018-Q1,487333
maharashtra,yavatmal district,20.3908238,78.1324077,120777011.2678308,120864,2018-Q1,120864
puducherry,yanam district,16.7332235,82.2018117763748,9167584.996845195,5948,2018-Q1,5948
haryana,yamunanagar district,22.79314,70.88832711034716,125333909.59597152,102917,2018-Q1,102917
karnataka,yadgir district,16.7670964,77.1403984,77395671.09263033,44863,2018-Q1,44863
telangana,yadadri bhuvanagiri district,16.3637095,78.0647251,154266151.70031402,119620,2018-Q1,119620
nagaland,wokha district,26.079343100000003,94.2591254527048,1942858.0739698592,1642,2018-Q1,1642
tripura,west tripura district,23.916667,91.5,68418341.27939591,70467,2018-Q1,70467
jharkhand,west singhbhum district,23.916667,84.083333,38008802.03968498,34197,2018-Q1,34197
arunachal-pradesh,west siang district,28.4,94.55,4796675.565399804,1887,2018-Q1,1887
meghalaya,west khasi hills district,24.3429852,93.6928709,1647761.3372907462,1079,2018-Q1,1079
assam,west karbi anglong district,25.083333,92.916667,570966.7219731117,1445,2018-Q1,1445
arunachal-pradesh,west kameng district,27.33862695,92.43336623881612,9540632.547015157,5787,2018-Q1,5787
meghalaya,west jaintia hills district,24.3429852,93.6928709,2812937.948004551,3131,2018-Q1,3131
andhra-pradesh,west godavari district,16.9550574,81.4530037,853547668.7532667,577090,2018-Q1,577090
meghalaya,west garo hills district,24.3429852,93.6928709,9199200.848858137,7660,2018-Q1,7660
delhi,west district,28.64817722181,77.09084510018437,966855137.026748,545129,2018-Q1,545129
sikkim,west district,27.315686000131,88.237183386863,7468491.334182342,4845,2018-Q1,4845
kerala,wayanad district,11.2554224,75.78162653483244,42622425.25359704,32702,2018-Q1,32702
maharashtra,washim district,20.1224632,77.1311174,53956265.55059725,60452,2018-Q1,60452
maharashtra,wardha district,20.73775615,78.60316842982326,103196998.8728487,111564,2018-Q1,111564
telangana,warangal urban district,16.5,78.25,421074106.98973614,349165,2018-Q1,349165
telangana,warangal rural district,17.0557615,79.2779955,79204912.70098737,104385,2018-Q1,104385
telangana,wanaparthy district,16.3637095,78.0647251,93331113.3949422,53432,2018-Q1,53432
andhra-pradesh,vizianagaram district,18.110744,83.386585,505783445.78162,420990,2018-Q1,420990
andhra-pradesh,visakhapatnam district,18.110744,83.386585,1749966196.5049942,1256469,2018-Q1,1256469
tamil-nadu,virudhunagar district,9.4926289,77.86316901187504,64399880.89336612,40154,2018-Q1,40154
tamil-nadu,viluppuram district,12.11669665,79.59892355244544,96341148.19973633,59239,2018-Q1,59239
