Place_Name,Total_covid_count,State
north and middle andaman district,442,andaman-&-nicobar-islands
south andaman district,5688,andaman-&-nicobar-islands
nicobars district,528,andaman-&-nicobar-islands
north and middle andaman district,825,andaman-&-nicobar-islands
south andaman district,9395,andaman-&-nicobar-islands
nicobars district,1120,andaman-&-nicobar-islands
north and middle andaman district,1283,andaman-&-nicobar-islands
south andaman district,13511,andaman-&-nicobar-islands
nicobars district,1471,andaman-&-nicobar-islands
north and middle andaman district,2137,andaman-&-nicobar-islands
south andaman district,20136,andaman-&-nicobar-islands
nicobars district,1485,andaman-&-nicobar-islands
north and middle andaman district,3264,andaman-&-nicobar-islands
south andaman district,25683,andaman-&-nicobar-islands
nicobars district,1539,andaman-&-nicobar-islands
north and middle andaman district,3371,andaman-&-nicobar-islands
south andaman district,28490,andaman-&-nicobar-islands
nicobars district,1828,andaman-&-nicobar-islands
north and middle andaman district,4049,andaman-&-nicobar-islands
south andaman district,27421,andaman-&-nicobar-islands
nicobars district,2300,andaman-&-nicobar-islands
north and middle andaman district,4716,andaman-&-nicobar-islands
south andaman district,27843,andaman-&-nicobar-islands
nicobars district,2600,andaman-&-nicobar-islands
north and middle andaman district,5674,andaman-&-nicobar-islands
south andaman district,32713,andaman-&-nicobar-islands
nicobars district,2911,andaman-&-nicobar-islands
north and middle andaman district,10979,andaman-&-nicobar-islands
south andaman district,48088,andaman-&-nicobar-islands
nicobars district,3895,andaman-&-nicobar-islands
north and middle andaman district,16747,andaman-&-nicobar-islands
south andaman district,95323,andaman-&-nicobar-islands
nicobars district,5413,andaman-&-nicobar-islands
north and middle andaman district,29349,andaman-&-nicobar-islands
south andaman district,186494,andaman-&-nicobar-islands
nicobars district,8688,andaman-&-nicobar-islands
north and middle andaman district,27358,andaman-&-nicobar-islands
south andaman district,207092,andaman-&-nicobar-islands
nicobars district,10302,andaman-&-nicobar-islands
north and middle andaman district,39200,andaman-&-nicobar-islands
south andaman district,286907,andaman-&-nicobar-islands
nicobars district,15307,andaman-&-nicobar-islands
north and middle andaman district,46592,andaman-&-nicobar-islands
south andaman district,382418,andaman-&-nicobar-islands
nicobars district,20754,andaman-&-nicobar-islands
north and middle andaman district,53115,andaman-&-nicobar-islands
south andaman district,558571,andaman-&-nicobar-islands
nicobars district,24437,andaman-&-nicobar-islands
north and middle andaman district,60059,andaman-&-nicobar-islands
south andaman district,705512,andaman-&-nicobar-islands
nicobars district,29177,andaman-&-nicobar-islands
north and middle andaman district,72573,andaman-&-nicobar-islands
south andaman district,954875,andaman-&-nicobar-islands
nicobars district,43769,andaman-&-nicobar-islands
north and middle andaman district,79574,andaman-&-nicobar-islands
south andaman district,1455255,andaman-&-nicobar-islands
nicobars district,49550,andaman-&-nicobar-islands
north and middle andaman district,93297,andaman-&-nicobar-islands
south andaman district,1835592,andaman-&-nicobar-islands
nicobars district,58646,andaman-&-nicobar-islands
east godavari district,943935,andhra-pradesh
srikakulam district,458921,andhra-pradesh
spsr nellore district,531612,andhra-pradesh
vizianagaram district,420990,andhra-pradesh
visakhapatnam district,1256469,andhra-pradesh
prakasam district,534757,andhra-pradesh
anantapur district,638664,andhra-pradesh
ysr district,487333,andhra-pradesh
west godavari district,577090,andhra-pradesh
kurnool district,679623,andhra-pradesh
chittoor district,830324,andhra-pradesh
guntur district,815932,andhra-pradesh
krishna district,863935,andhra-pradesh
east godavari district,1221677,andhra-pradesh
srikakulam district,559868,andhra-pradesh
spsr nellore district,780454,andhra-pradesh
vizianagaram district,529588,andhra-pradesh
visakhapatnam district,1641192,andhra-pradesh
prakasam district,739991,andhra-pradesh
anantapur district,937023,andhra-pradesh
ysr district,690842,andhra-pradesh
west godavari district,786033,andhra-pradesh
kurnool district,968439,andhra-pradesh
chittoor district,1185723,andhra-pradesh
guntur district,1088101,andhra-pradesh
krishna district,1224987,andhra-pradesh
east godavari district,3226907,andhra-pradesh
srikakulam district,1073883,andhra-pradesh
spsr nellore district,1308890,andhra-pradesh
vizianagaram district,970132,andhra-pradesh
visakhapatnam district,3394576,andhra-pradesh
prakasam district,1319651,andhra-pradesh
anantapur district,1815215,andhra-pradesh
ysr district,1557444,andhra-pradesh
west godavari district,1431282,andhra-pradesh
kurnool district,2921189,andhra-pradesh
chittoor district,2297429,andhra-pradesh
guntur district,1912529,andhra-pradesh
krishna district,2396934,andhra-pradesh
east godavari district,3052762,andhra-pradesh
srikakulam district,1252807,andhra-pradesh
spsr nellore district,1814997,andhra-pradesh
vizianagaram district,1386787,andhra-pradesh
visakhapatnam district,4791421,andhra-pradesh
prakasam district,1692862,andhra-pradesh
anantapur district,2286391,andhra-pradesh
ysr district,1732527,andhra-pradesh
west godavari district,1688482,andhra-pradesh
kurnool district,2508530,andhra-pradesh
chittoor district,3166201,andhra-pradesh
guntur district,2546620,andhra-pradesh
krishna district,2839161,andhra-pradesh
east godavari district,5440146,andhra-pradesh
srikakulam district,2526855,andhra-pradesh
spsr nellore district,3333584,andhra-pradesh
vizianagaram district,2798241,andhra-pradesh
visakhapatnam district,9690866,andhra-pradesh
prakasam district,2931081,andhra-pradesh
anantapur district,3891336,andhra-pradesh
ysr district,2852197,andhra-pradesh
west godavari district,2829437,andhra-pradesh
kurnool district,4193432,andhra-pradesh
chittoor district,6486813,andhra-pradesh
guntur district,4846553,andhra-pradesh
krishna district,5443981,andhra-pradesh
east godavari district,4699261,andhra-pradesh
srikakulam district,2019203,andhra-pradesh
spsr nellore district,3141891,andhra-pradesh
vizianagaram district,2272320,andhra-pradesh
visakhapatnam district,11705738,andhra-pradesh
prakasam district,2670529,andhra-pradesh
anantapur district,3578836,andhra-pradesh
ysr district,2606284,andhra-pradesh
west godavari district,2402074,andhra-pradesh
kurnool district,3895824,andhra-pradesh
chittoor district,5983308,andhra-pradesh
guntur district,5005275,andhra-pradesh
krishna district,6428472,andhra-pradesh
east godavari district,6537303,andhra-pradesh
srikakulam district,2556296,andhra-pradesh
spsr nellore district,4150195,andhra-pradesh
vizianagaram district,2861581,andhra-pradesh
visakhapatnam district,16694947,andhra-pradesh
prakasam district,3430750,andhra-pradesh
anantapur district,4889720,andhra-pradesh
ysr district,3296586,andhra-pradesh
west godavari district,3179541,andhra-pradesh
kurnool district,5139134,andhra-pradesh
chittoor district,8201783,andhra-pradesh
guntur district,6942304,andhra-pradesh
krishna district,8408474,andhra-pradesh
east godavari district,9285739,andhra-pradesh
srikakulam district,3712555,andhra-pradesh
spsr nellore district,5877804,andhra-pradesh
vizianagaram district,3998234,andhra-pradesh
visakhapatnam district,23594874,andhra-pradesh
prakasam district,4865473,andhra-pradesh
anantapur district,6764112,andhra-pradesh
ysr district,4793157,andhra-pradesh
west godavari district,4596479,andhra-pradesh
kurnool district,7001958,andhra-pradesh
chittoor district,11246986,andhra-pradesh
guntur district,9761330,andhra-pradesh
krishna district,11719402,andhra-pradesh
east godavari district,11346242,andhra-pradesh
srikakulam district,4835092,andhra-pradesh
spsr nellore district,7430247,andhra-pradesh
vizianagaram district,5042066,andhra-pradesh
visakhapatnam district,27115031,andhra-pradesh
prakasam district,6318396,andhra-pradesh
anantapur district,8466129,andhra-pradesh
ysr district,6031255,andhra-pradesh
west godavari district,5919670,andhra-pradesh
kurnool district,8246869,andhra-pradesh
chittoor district,13257740,andhra-pradesh
guntur district,11493331,andhra-pradesh
krishna district,12175289,andhra-pradesh
east godavari district,13130334,andhra-pradesh
srikakulam district,6425515,andhra-pradesh
spsr nellore district,9454274,andhra-pradesh
vizianagaram district,6690313,andhra-pradesh
visakhapatnam district,25300401,andhra-pradesh
prakasam district,8844580,andhra-pradesh
anantapur district,10473739,andhra-pradesh
ysr district,8033609,andhra-pradesh
west godavari district,7273096,andhra-pradesh
kurnool district,9821381,andhra-pradesh
chittoor district,14848197,andhra-pradesh
guntur district,12308707,andhra-pradesh
krishna district,12313709,andhra-pradesh
east godavari district,17972431,andhra-pradesh
srikakulam district,8286289,andhra-pradesh
spsr nellore district,16468209,andhra-pradesh
vizianagaram district,8236703,andhra-pradesh
visakhapatnam district,34421299,andhra-pradesh
prakasam district,12266310,andhra-pradesh
anantapur district,14447683,andhra-pradesh
ysr district,11934653,andhra-pradesh
west godavari district,10412351,andhra-pradesh
kurnool district,13243292,andhra-pradesh
chittoor district,20501863,andhra-pradesh
guntur district,17601395,andhra-pradesh
krishna district,19110457,andhra-pradesh
east godavari district,25989490,andhra-pradesh
srikakulam district,11092184,andhra-pradesh
spsr nellore district,20934374,andhra-pradesh
vizianagaram district,10580824,andhra-pradesh
visakhapatnam district,46551467,andhra-pradesh
prakasam district,16176867,andhra-pradesh
anantapur district,20996384,andhra-pradesh
ysr district,15676878,andhra-pradesh
west godavari district,15674762,andhra-pradesh
kurnool district,18737323,andhra-pradesh
chittoor district,29590411,andhra-pradesh
guntur district,26136538,andhra-pradesh
krishna district,27981050,andhra-pradesh
east godavari district,26190701,andhra-pradesh
srikakulam district,11160473,andhra-pradesh
spsr nellore district,22541428,andhra-pradesh
vizianagaram district,10514582,andhra-pradesh
visakhapatnam district,48248923,andhra-pradesh
prakasam district,15175395,andhra-pradesh
anantapur district,20102957,andhra-pradesh
ysr district,15374473,andhra-pradesh
west godavari district,16015685,andhra-pradesh
kurnool district,17918524,andhra-pradesh
chittoor district,29342609,andhra-pradesh
guntur district,27445045,andhra-pradesh
krishna district,29717175,andhra-pradesh
east godavari district,31717908,andhra-pradesh
srikakulam district,13546232,andhra-pradesh
spsr nellore district,30290406,andhra-pradesh
vizianagaram district,12689494,andhra-pradesh
visakhapatnam district,54390299,andhra-pradesh
prakasam district,19944047,andhra-pradesh
anantapur district,25123346,andhra-pradesh
ysr district,18457361,andhra-pradesh
west godavari district,20950964,andhra-pradesh
kurnool district,21972396,andhra-pradesh
chittoor district,34344902,andhra-pradesh
guntur district,32968819,andhra-pradesh
krishna district,36370960,andhra-pradesh
east godavari district,39572714,andhra-pradesh
srikakulam district,15639768,andhra-pradesh
spsr nellore district,34411958,andhra-pradesh
vizianagaram district,14510005,andhra-pradesh
visakhapatnam district,69220981,andhra-pradesh
prakasam district,24116580,andhra-pradesh
anantapur district,30366444,andhra-pradesh
ysr district,22439316,andhra-pradesh
west godavari district,26245039,andhra-pradesh
kurnool district,26377809,andhra-pradesh
chittoor district,42628568,andhra-pradesh
guntur district,41675093,andhra-pradesh
krishna district,44828275,andhra-pradesh
east godavari district,48992531,andhra-pradesh
srikakulam district,18501857,andhra-pradesh
spsr nellore district,41921081,andhra-pradesh
vizianagaram district,17253059,andhra-pradesh
visakhapatnam district,82711538,andhra-pradesh
prakasam district,27858275,andhra-pradesh
anantapur district,36129136,andhra-pradesh
ysr district,26340348,andhra-pradesh
west godavari district,33235175,andhra-pradesh
kurnool district,31782248,andhra-pradesh
chittoor district,51119640,andhra-pradesh
guntur district,50919286,andhra-pradesh
krishna district,55489829,andhra-pradesh
east godavari district,54738830,andhra-pradesh
srikakulam district,20990782,andhra-pradesh
spsr nellore district,47645702,andhra-pradesh
vizianagaram district,19278262,andhra-pradesh
visakhapatnam district,88233362,andhra-pradesh
prakasam district,31340975,andhra-pradesh
anantapur district,40613148,andhra-pradesh
ysr district,29783739,andhra-pradesh
west godavari district,37271259,andhra-pradesh
kurnool district,35093633,andhra-pradesh
chittoor district,58561024,andhra-pradesh
guntur district,57226996,andhra-pradesh
krishna district,61826199,andhra-pradesh
east godavari district,62072845,andhra-pradesh
srikakulam district,23727353,andhra-pradesh
spsr nellore district,54838708,andhra-pradesh
vizianagaram district,21766135,andhra-pradesh
visakhapatnam district,101387402,andhra-pradesh
prakasam district,36163507,andhra-pradesh
anantapur district,46099366,andhra-pradesh
ysr district,33154559,andhra-pradesh
west godavari district,44409239,andhra-pradesh
kurnool district,40165692,andhra-pradesh
chittoor district,67507661,andhra-pradesh
guntur district,66315749,andhra-pradesh
krishna district,73525814,andhra-pradesh
east godavari district,61467134,andhra-pradesh
srikakulam district,22126541,andhra-pradesh
spsr nellore district,42116582,andhra-pradesh
vizianagaram district,20440645,andhra-pradesh
visakhapatnam district,97434546,andhra-pradesh
prakasam district,35376080,andhra-pradesh
anantapur district,45165363,andhra-pradesh
ysr district,33119038,andhra-pradesh
west godavari district,43635951,andhra-pradesh
kurnool district,39557913,andhra-pradesh
chittoor district,65751781,andhra-pradesh
guntur district,65612317,andhra-pradesh
krishna district,71051144,andhra-pradesh
east godavari district,68016055,andhra-pradesh
srikakulam district,23693779,andhra-pradesh
spsr nellore district,42582064,andhra-pradesh
vizianagaram district,22205190,andhra-pradesh
visakhapatnam district,103790055,andhra-pradesh
prakasam district,37211077,andhra-pradesh
anantapur district,48299601,andhra-pradesh
ysr district,35201596,andhra-pradesh
west godavari district,47919930,andhra-pradesh
kurnool district,43524766,andhra-pradesh
chittoor district,70322534,andhra-pradesh
guntur district,70723763,andhra-pradesh
krishna district,76526667,andhra-pradesh
lower dibang valley district,1356,arunachal-pradesh
lower subansiri district,1477,arunachal-pradesh
longding district,2321,arunachal-pradesh
west siang district,1887,arunachal-pradesh
kamle district,14,arunachal-pradesh
upper siang district,126,arunachal-pradesh
tirap district,945,arunachal-pradesh
papum pare district,14224,arunachal-pradesh
kurung kumey district,84,arunachal-pradesh
siang district,252,arunachal-pradesh
lower siang district,1292,arunachal-pradesh
kra daadi district,207,arunachal-pradesh
changlang district,3195,arunachal-pradesh
anjaw district,0,arunachal-pradesh
shi yomi district,0,arunachal-pradesh
pakke kessang district,9,arunachal-pradesh
dibang valley district,2,arunachal-pradesh
west kameng district,5787,arunachal-pradesh
east siang district,3286,arunachal-pradesh
upper subansiri district,735,arunachal-pradesh
east kameng district,529,arunachal-pradesh
lohit district,3747,arunachal-pradesh
lepa rada district,288,arunachal-pradesh
tawang district,2334,arunachal-pradesh
namsai district,1400,arunachal-pradesh
lower dibang valley district,1827,arunachal-pradesh
lower subansiri district,1666,arunachal-pradesh
longding district,4634,arunachal-pradesh
west siang district,2579,arunachal-pradesh
kamle district,12,arunachal-pradesh
upper siang district,240,arunachal-pradesh
tirap district,1903,arunachal-pradesh
shi yomi district,0,arunachal-pradesh
papum pare district,25363,arunachal-pradesh
kurung kumey district,83,arunachal-pradesh
anjaw district,7,arunachal-pradesh
siang district,336,arunachal-pradesh
lower siang district,2292,arunachal-pradesh
kra daadi district,247,arunachal-pradesh
changlang district,6066,arunachal-pradesh
pakke kessang district,48,arunachal-pradesh
dibang valley district,68,arunachal-pradesh
west kameng district,10466,arunachal-pradesh
east siang district,6363,arunachal-pradesh
upper subansiri district,1285,arunachal-pradesh
east kameng district,522,arunachal-pradesh
lohit district,6962,arunachal-pradesh
lepa rada district,511,arunachal-pradesh
tawang district,5447,arunachal-pradesh
namsai district,3230,arunachal-pradesh
lower dibang valley district,2824,arunachal-pradesh
lower subansiri district,2346,arunachal-pradesh
longding district,5288,arunachal-pradesh
west siang district,3337,arunachal-pradesh
kamle district,93,arunachal-pradesh
upper siang district,250,arunachal-pradesh
tirap district,3322,arunachal-pradesh
papum pare district,43282,arunachal-pradesh
kurung kumey district,255,arunachal-pradesh
anjaw district,13,arunachal-pradesh
siang district,615,arunachal-pradesh
lower siang district,2625,arunachal-pradesh
shi yomi district,0,arunachal-pradesh
kra daadi district,436,arunachal-pradesh
changlang district,10162,arunachal-pradesh
pakke kessang district,165,arunachal-pradesh
dibang valley district,29,arunachal-pradesh
west kameng district,17026,arunachal-pradesh
east siang district,10539,arunachal-pradesh
upper subansiri district,1601,arunachal-pradesh
east kameng district,1029,arunachal-pradesh
lohit district,11595,arunachal-pradesh
lepa rada district,523,arunachal-pradesh
tawang district,8715,arunachal-pradesh
namsai district,5076,arunachal-pradesh
lower dibang valley district,4227,arunachal-pradesh
lower subansiri district,3735,arunachal-pradesh
longding district,6581,arunachal-pradesh
west siang district,3813,arunachal-pradesh
kamle district,247,arunachal-pradesh
upper siang district,1041,arunachal-pradesh
tirap district,5725,arunachal-pradesh
papum pare district,55224,arunachal-pradesh
kurung kumey district,444,arunachal-pradesh
anjaw district,273,arunachal-pradesh
siang district,822,arunachal-pradesh
lower siang district,2883,arunachal-pradesh
kra daadi district,750,arunachal-pradesh
changlang district,13950,arunachal-pradesh
pakke kessang district,297,arunachal-pradesh
dibang valley district,40,arunachal-pradesh
west kameng district,25439,arunachal-pradesh
shi yomi district,61,arunachal-pradesh
east siang district,12893,arunachal-pradesh
upper subansiri district,2686,arunachal-pradesh
east kameng district,1750,arunachal-pradesh
lohit district,14268,arunachal-pradesh
lepa rada district,932,arunachal-pradesh
tawang district,11104,arunachal-pradesh
namsai district,7244,arunachal-pradesh
lower dibang valley district,6314,arunachal-pradesh
lower subansiri district,4994,arunachal-pradesh
longding district,7287,arunachal-pradesh
west siang district,5921,arunachal-pradesh
kamle district,391,arunachal-pradesh
upper siang district,1154,arunachal-pradesh
tirap district,6877,arunachal-pradesh
papum pare district,70941,arunachal-pradesh
kurung kumey district,740,arunachal-pradesh
anjaw district,2116,arunachal-pradesh
siang district,1282,arunachal-pradesh
lower siang district,3565,arunachal-pradesh
kra daadi district,1070,arunachal-pradesh
changlang district,17589,arunachal-pradesh
pakke kessang district,545,arunachal-pradesh
dibang valley district,102,arunachal-pradesh
west kameng district,34289,arunachal-pradesh
shi yomi district,19,arunachal-pradesh
east siang district,15621,arunachal-pradesh
upper subansiri district,3880,arunachal-pradesh
east kameng district,2688,arunachal-pradesh
lohit district,15896,arunachal-pradesh
lepa rada district,1523,arunachal-pradesh
tawang district,13102,arunachal-pradesh
namsai district,8600,arunachal-pradesh
lower dibang valley district,5819,arunachal-pradesh
lower subansiri district,5579,arunachal-pradesh
longding district,6744,arunachal-pradesh
west siang district,8041,arunachal-pradesh
kamle district,414,arunachal-pradesh
upper siang district,1079,arunachal-pradesh
tirap district,6868,arunachal-pradesh
papum pare district,86433,arunachal-pradesh
kurung kumey district,1427,arunachal-pradesh
anjaw district,2473,arunachal-pradesh
siang district,1654,arunachal-pradesh
lower siang district,3791,arunachal-pradesh
kra daadi district,1447,arunachal-pradesh
changlang district,18631,arunachal-pradesh
pakke kessang district,687,arunachal-pradesh
dibang valley district,98,arunachal-pradesh
west kameng district,37430,arunachal-pradesh
shi yomi district,13,arunachal-pradesh
east siang district,16494,arunachal-pradesh
upper subansiri district,4827,arunachal-pradesh
east kameng district,2309,arunachal-pradesh
lohit district,18693,arunachal-pradesh
lepa rada district,2108,arunachal-pradesh
tawang district,15960,arunachal-pradesh
namsai district,9637,arunachal-pradesh
lower dibang valley district,8405,arunachal-pradesh
lower subansiri district,8828,arunachal-pradesh
